epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,2916.63,0.78873,0.5171,0.90384,0.92178,0.93571,0.96676,0.76963,0.70768,0.43454,0.84381,0.0089209,0.0089209,0.0089209
111,2943.18,0.81537,0.52877,0.91894,0.95583,0.92738,0.97306,0.77122,0.72502,0.431,0.84528,0.008911,0.008911,0.008911
112,2970.42,0.78659,0.52592,0.9079,0.93894,0.92143,0.9681,0.76938,0.72443,0.44012,0.85553,0.0089011,0.0089011,0.0089011
113,2997.04,0.80683,0.53072,0.90602,0.91632,0.93861,0.96338,0.76019,0.72155,0.44885,0.84955,0.0088912,0.0088912,0.0088912
114,3024.29,0.80123,0.52069,0.91568,0.93026,0.94286,0.96806,0.76999,0.7316,0.44084,0.86027,0.0088813,0.0088813,0.0088813
115,3051.42,0.79204,0.53302,0.91867,0.95522,0.91419,0.97331,0.78076,0.72272,0.44069,0.85543,0.0088714,0.0088714,0.0088714
116,3078.34,0.79716,0.53663,0.89421,0.92791,0.95,0.96828,0.77137,0.69958,0.43741,0.84727,0.0088615,0.0088615,0.0088615
117,3104.58,0.78504,0.5205,0.9043,0.93759,0.93571,0.96901,0.77944,0.70488,0.41655,0.84547,0.0088516,0.0088516,0.0088516
118,3131.19,0.81725,0.53953,0.90923,0.94619,0.91429,0.96765,0.77073,0.71906,0.41547,0.84951,0.0088417,0.0088417,0.0088417
119,3157.6,0.78548,0.51356,0.91058,0.90992,0.94286,0.97229,0.75475,0.73219,0.43669,0.85296,0.0088318,0.0088318,0.0088318
120,3184.23,0.80416,0.52781,0.91946,0.94227,0.93268,0.97286,0.76129,0.73182,0.43314,0.85644,0.0088219,0.0088219,0.0088219
121,3210.98,0.79969,0.52833,0.90974,0.93584,0.93769,0.97039,0.76993,0.72597,0.41972,0.85557,0.008812,0.008812,0.008812
122,3237.65,0.79419,0.53581,0.91527,0.93413,0.93571,0.97016,0.76571,0.73833,0.42099,0.85025,0.0088021,0.0088021,0.0088021
123,3264.74,0.78505,0.50525,0.913,0.91966,0.91429,0.96259,0.7686,0.73204,0.43424,0.85081,0.0087922,0.0087922,0.0087922
124,3291.41,0.80219,0.5096,0.91386,0.92984,0.94667,0.96121,0.76752,0.71868,0.4466,0.84988,0.0087823,0.0087823,0.0087823
125,3318.07,0.80544,0.53806,0.90521,0.95489,0.90721,0.96438,0.77322,0.70018,0.44569,0.84928,0.0087724,0.0087724,0.0087724
126,3344.77,0.80885,0.5237,0.91095,0.94968,0.92143,0.96721,0.77824,0.70354,0.43994,0.8384,0.0087625,0.0087625,0.0087625
127,3371.47,0.77052,0.51039,0.91786,0.95569,0.92428,0.9677,0.78009,0.68869,0.42952,0.847,0.0087526,0.0087526,0.0087526
128,3398.39,0.79794,0.51536,0.89992,0.94902,0.95714,0.96959,0.77357,0.68365,0.42195,0.83454,0.0087427,0.0087427,0.0087427
129,3424.96,0.79419,0.52156,0.90932,0.92795,0.94286,0.9636,0.77824,0.68738,0.43099,0.84004,0.0087328,0.0087328,0.0087328
130,3451.64,0.7871,0.50524,0.9121,0.9358,0.92857,0.96248,0.7804,0.67241,0.43391,0.83696,0.0087229,0.0087229,0.0087229
131,3478.16,0.78798,0.51486,0.91202,0.93515,0.92696,0.96026,0.78185,0.67459,0.43,0.83513,0.008713,0.008713,0.008713
132,3504.56,0.79654,0.51301,0.90591,0.93132,0.92143,0.96583,0.76807,0.69202,0.44512,0.83401,0.0087031,0.0087031,0.0087031
133,3531.02,0.76544,0.51681,0.89258,0.9095,0.93322,0.9592,0.77164,0.7048,0.43545,0.83366,0.0086932,0.0086932,0.0086932
134,3557.51,0.77644,0.50484,0.90216,0.91351,0.94286,0.96283,0.78291,0.697,0.43952,0.83172,0.0086833,0.0086833,0.0086833
135,3584.03,0.76919,0.51179,0.90029,0.93002,0.92857,0.97169,0.78898,0.68582,0.421,0.83282,0.0086734,0.0086734,0.0086734
136,3610.78,0.76838,0.50606,0.90736,0.90016,0.92857,0.96869,0.78649,0.68937,0.4304,0.83574,0.0086635,0.0086635,0.0086635
137,3637.29,0.79005,0.52071,0.90303,0.91711,0.94841,0.97249,0.78285,0.69077,0.43387,0.83254,0.0086536,0.0086536,0.0086536
138,3663.82,0.75914,0.49759,0.89638,0.92197,0.92838,0.97278,0.78196,0.69752,0.431,0.83445,0.0086437,0.0086437,0.0086437
139,3690.9,0.77168,0.51003,0.90027,0.93993,0.89421,0.97135,0.7895,0.67761,0.42151,0.83474,0.0086338,0.0086338,0.0086338
140,3717.5,0.77446,0.50716,0.89643,0.9149,0.92149,0.97451,0.78209,0.70813,0.43015,0.83281,0.0086239,0.0086239,0.0086239
141,3744.09,0.76737,0.51469,0.90718,0.92639,0.92857,0.97606,0.7925,0.69144,0.42686,0.83557,0.008614,0.008614,0.008614
142,3770.77,0.76645,0.50811,0.908,0.95539,0.91793,0.97708,0.79209,0.70417,0.42669,0.83665,0.0086041,0.0086041,0.0086041
143,3797.39,0.79393,0.52513,0.92139,0.92829,0.92462,0.96264,0.77762,0.71259,0.4206,0.84486,0.0085942,0.0085942,0.0085942
144,3823.87,0.77617,0.50465,0.90877,0.94022,0.89879,0.96403,0.7766,0.70401,0.42685,0.83731,0.0085843,0.0085843,0.0085843
145,3850.36,0.77143,0.50341,0.91049,0.9429,0.92143,0.96697,0.77733,0.7008,0.42552,0.83832,0.0085744,0.0085744,0.0085744
146,3876.92,0.75667,0.49203,0.90588,0.95151,0.92143,0.96692,0.78195,0.69574,0.42528,0.83691,0.0085645,0.0085645,0.0085645
147,3903.45,0.76633,0.49951,0.90032,0.94794,0.90714,0.9652,0.78446,0.70213,0.42478,0.83589,0.0085546,0.0085546,0.0085546
148,3930.03,0.76373,0.5047,0.89928,0.92822,0.9237,0.96157,0.77524,0.7058,0.42856,0.83593,0.0085447,0.0085447,0.0085447
149,3957,0.76135,0.5001,0.89834,0.92312,0.91429,0.95303,0.77238,0.71216,0.44981,0.83677,0.0085348,0.0085348,0.0085348
150,3984.03,0.77062,0.50193,0.89929,0.93269,0.93571,0.95433,0.76893,0.70826,0.43866,0.83967,0.0085249,0.0085249,0.0085249
151,4011.04,0.78049,0.50996,0.91114,0.92221,0.95,0.95934,0.782,0.6945,0.4286,0.83013,0.008515,0.008515,0.008515
152,4037.73,0.78455,0.50947,0.89975,0.92838,0.95,0.95666,0.77936,0.69837,0.42012,0.82755,0.0085051,0.0085051,0.0085051
153,4064.25,0.75813,0.49685,0.90052,0.91463,0.95,0.96123,0.78131,0.69242,0.42119,0.82738,0.0084952,0.0084952,0.0084952
154,4090.86,0.76438,0.50101,0.90308,0.91303,0.94286,0.96535,0.78418,0.68148,0.41795,0.8231,0.0084853,0.0084853,0.0084853
155,4117.45,0.78679,0.50823,0.8962,0.89813,0.94286,0.96333,0.78353,0.68089,0.41093,0.82885,0.0084754,0.0084754,0.0084754
156,4143.94,0.74584,0.48026,0.89457,0.92373,0.92143,0.96213,0.784,0.68568,0.41384,0.83312,0.0084655,0.0084655,0.0084655
157,4170.41,0.75084,0.48729,0.89671,0.9247,0.92857,0.96502,0.77958,0.69763,0.40627,0.83748,0.0084556,0.0084556,0.0084556
158,4197.08,0.78917,0.50304,0.91391,0.9355,0.93571,0.96997,0.78457,0.69455,0.40834,0.83734,0.0084457,0.0084457,0.0084457
159,4223.81,0.77104,0.50254,0.9054,0.94807,0.91286,0.97612,0.7878,0.69318,0.4074,0.83451,0.0084358,0.0084358,0.0084358
160,4250.56,0.77351,0.49772,0.9011,0.93254,0.92857,0.97325,0.78809,0.68459,0.40205,0.83651,0.0084259,0.0084259,0.0084259
161,4277.04,0.75115,0.49098,0.89784,0.92142,0.91429,0.96852,0.78986,0.69184,0.40353,0.83725,0.008416,0.008416,0.008416
162,4303.43,0.77081,0.49896,0.89415,0.89739,0.93702,0.97251,0.78692,0.69526,0.40237,0.8373,0.0084061,0.0084061,0.0084061
163,4329.87,0.77796,0.50621,0.909,0.92074,0.91277,0.96732,0.78273,0.68391,0.40913,0.83601,0.0083962,0.0083962,0.0083962
164,4356.29,0.7579,0.48822,0.90182,0.94704,0.89407,0.96211,0.78186,0.69197,0.41846,0.83716,0.0083863,0.0083863,0.0083863
165,4382.74,0.761,0.50469,0.89925,0.94622,0.87967,0.96388,0.77684,0.69312,0.41526,0.8438,0.0083764,0.0083764,0.0083764
166,4409.13,0.75729,0.49674,0.89545,0.93709,0.9,0.96712,0.77513,0.69984,0.41613,0.84901,0.0083665,0.0083665,0.0083665
167,4435.84,0.77185,0.49921,0.90496,0.94641,0.88296,0.96467,0.78022,0.68925,0.41592,0.844,0.0083566,0.0083566,0.0083566
168,4462.52,0.74561,0.48561,0.8941,0.93702,0.9,0.9669,0.78559,0.68871,0.41941,0.84335,0.0083467,0.0083467,0.0083467
169,4489.53,0.76567,0.49165,0.90229,0.93349,0.89286,0.9698,0.78367,0.68262,0.41108,0.83964,0.0083368,0.0083368,0.0083368
170,4516.73,0.7845,0.52142,0.90447,0.92037,0.9081,0.96794,0.7837,0.69174,0.40484,0.83882,0.0083269,0.0083269,0.0083269
171,4543.67,0.75018,0.49722,0.89658,0.94063,0.90535,0.9694,0.77795,0.68687,0.40539,0.84151,0.008317,0.008317,0.008317
172,4570.38,0.75294,0.50687,0.91038,0.91063,0.94614,0.96774,0.77414,0.68249,0.40927,0.84213,0.0083071,0.0083071,0.0083071
173,4597.53,0.75788,0.4878,0.90197,0.91495,0.93571,0.96692,0.76976,0.68894,0.41095,0.84187,0.0082972,0.0082972,0.0082972
174,4624.12,0.76988,0.50212,0.91028,0.92812,0.95,0.96925,0.77468,0.69427,0.40417,0.84274,0.0082873,0.0082873,0.0082873
175,4650.52,0.74139,0.4908,0.88714,0.92048,0.94286,0.96775,0.77824,0.69576,0.40579,0.83978,0.0082774,0.0082774,0.0082774
176,4677.12,0.7608,0.49772,0.89472,0.89324,0.95619,0.96807,0.77931,0.69218,0.40023,0.83871,0.0082675,0.0082675,0.0082675
177,4704.16,0.76261,0.48999,0.89539,0.93132,0.93571,0.97182,0.77724,0.69259,0.40575,0.839,0.0082576,0.0082576,0.0082576
178,4730.64,0.76291,0.48509,0.90685,0.93583,0.93756,0.9769,0.7795,0.69784,0.40272,0.84161,0.0082477,0.0082477,0.0082477
179,4757.1,0.73923,0.52717,0.8874,0.92951,0.94188,0.97166,0.78251,0.70308,0.41008,0.84186,0.0082378,0.0082378,0.0082378
180,4784.09,0.75622,0.47907,0.89098,0.92357,0.94947,0.97293,0.78324,0.6996,0.4107,0.83753,0.0082279,0.0082279,0.0082279
181,4810.75,0.74705,0.47566,0.89477,0.92948,0.94142,0.97173,0.78782,0.69603,0.41348,0.83411,0.008218,0.008218,0.008218
182,4837.76,0.74511,0.49396,0.89586,0.91604,0.93518,0.97287,0.78002,0.70221,0.41586,0.83647,0.0082081,0.0082081,0.0082081
