                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.76132,                0.49047,                0.92123,                0.93218,                0.91954,                0.95405,                0.73101,                0.74844,                0.45742,                0.87079,              0.0093763,              0.0093763,              0.0093763
                     65,                0.76969,                 0.4809,                0.91725,                0.93531,                0.90805,                0.96257,                0.77707,                0.71666,                0.48253,                0.88163,              0.0093664,              0.0093664,              0.0093664
                     66,                0.75414,                 0.4993,                0.92751,                0.96003,                0.91954,                0.96966,                0.76822,                0.73037,                0.45124,                0.86169,              0.0093565,              0.0093565,              0.0093565
                     67,                0.74658,                0.47836,                0.93008,                0.95843,                0.93103,                0.96656,                0.77459,                0.75713,                0.46464,                0.87969,              0.0093466,              0.0093466,              0.0093466
                     68,                0.74534,                0.47898,                0.93153,                0.96373,                0.91623,                0.96082,                0.75053,                0.72192,                0.44227,                0.89813,              0.0093367,              0.0093367,              0.0093367
                     69,                0.75525,                0.50141,                0.93346,                0.98823,                0.87356,                0.97418,                0.76853,                0.74068,                0.45823,                 0.8952,              0.0093268,              0.0093268,              0.0093268
                     70,                0.75183,                0.47414,                0.91717,                0.91077,                0.93865,                0.96399,                0.76422,                0.73632,                0.45824,                0.89694,              0.0093169,              0.0093169,              0.0093169
                     71,                0.73928,                0.46279,                0.91935,                 0.9421,                0.93513,                0.96969,                0.75932,                0.75751,                0.46741,                0.86197,               0.009307,               0.009307,               0.009307
                     72,                0.71986,                0.46414,                0.92874,                0.93922,                0.95402,                 0.9691,                0.78145,                0.66171,                0.44016,                0.86875,              0.0092971,              0.0092971,              0.0092971
                     73,                0.72951,                0.48235,                0.92311,                0.95785,                0.89655,                0.95256,                0.76106,                0.64504,                0.43898,                0.85705,              0.0092872,              0.0092872,              0.0092872
                     74,                0.71824,                0.47343,                0.92725,                0.97127,                0.91954,                0.96492,                0.76051,                0.75047,                0.45718,                0.88216,              0.0092773,              0.0092773,              0.0092773
                     75,                0.71522,                0.46133,                0.92915,                0.94232,                0.93898,                0.97833,                0.77225,                0.69928,                0.42816,                0.88419,              0.0092674,              0.0092674,              0.0092674
                     76,                0.71116,                 0.4548,                0.90729,                0.96362,                0.93103,                0.98091,                  0.773,                0.72105,                0.46334,                0.88374,              0.0092575,              0.0092575,              0.0092575
                     77,                0.75034,                0.48642,                0.93474,                0.96104,                0.88506,                0.95218,                0.76459,                0.68137,                0.44849,                0.86414,              0.0092476,              0.0092476,              0.0092476
                     78,                0.72562,                0.45915,                0.93529,                0.98551,                0.89655,                0.97299,                0.76877,                0.73663,                0.42959,                0.87926,              0.0092377,              0.0092377,              0.0092377
                     79,                0.72499,                0.45995,                 0.9331,                0.97548,                0.91446,                0.96438,                0.76234,                0.73436,                0.46717,                0.88253,              0.0092278,              0.0092278,              0.0092278
                     80,                0.72345,                0.47165,                 0.9168,                0.96501,                0.95114,                0.97505,                 0.7642,                0.73028,                0.43321,                0.88285,              0.0092179,              0.0092179,              0.0092179
                     81,                0.72357,                0.46191,                0.90969,                0.94093,                0.94253,                0.95701,                0.77989,                0.73191,                0.46797,                0.87828,               0.009208,               0.009208,               0.009208
                     82,                0.72004,                0.47158,                0.91941,                      1,                0.88415,                0.97812,                 0.7817,                0.68412,                0.40342,                0.86451,              0.0091981,              0.0091981,              0.0091981
                     83,                0.70452,                0.47755,                0.91312,                0.96013,                0.95402,                 0.9746,                 0.7888,                0.70702,                0.43336,                0.86976,              0.0091882,              0.0091882,              0.0091882
                     84,                 0.7074,                 0.4486,                0.90687,                0.98013,                0.90805,                0.95985,                0.75412,                0.72516,                0.43343,                0.88171,              0.0091783,              0.0091783,              0.0091783
                     85,                0.68129,                0.45218,                0.90127,                 0.9515,                0.90203,                0.96875,                0.77522,                0.69996,                0.45154,                0.86941,              0.0091684,              0.0091684,              0.0091684
                     86,                0.68223,                 0.4406,                0.89816,                0.93371,                0.94253,                0.97273,                0.78396,                 0.6842,                0.39922,                0.86738,              0.0091585,              0.0091585,              0.0091585
                     87,                0.72117,                0.46483,                 0.9184,                0.98529,                0.88506,                0.97462,                0.77625,                0.69032,                 0.4135,                0.86292,              0.0091486,              0.0091486,              0.0091486
                     88,                0.72374,                0.44728,                0.91004,                0.95173,                0.95402,                0.97309,                0.78034,                0.72514,                0.43266,                0.87642,              0.0091387,              0.0091387,              0.0091387
                     89,                0.72559,                0.46427,                0.92293,                0.92044,                0.96552,                0.96716,                0.77106,                0.68902,                0.44691,                0.87298,              0.0091288,              0.0091288,              0.0091288
                     90,                0.69547,                0.43654,                0.90626,                0.95361,                0.94253,                0.98043,                0.77575,                0.70886,                0.40987,                0.86477,              0.0091189,              0.0091189,              0.0091189
                     91,                0.66267,                0.43185,                0.89336,                 0.9575,                0.93103,                0.97617,                0.78957,                0.68717,                0.40494,                0.86863,               0.009109,               0.009109,               0.009109
                     92,                 0.6937,                0.44161,                 0.9122,                 0.9513,                0.93103,                0.97192,                0.77955,                0.68592,                0.44922,                0.86742,              0.0090991,              0.0090991,              0.0090991
                     93,                0.70907,                0.44906,                 0.9198,                0.96316,                0.89655,                0.97216,                0.76802,                0.70876,                   0.42,                0.88033,              0.0090892,              0.0090892,              0.0090892
                     94,                0.69484,                0.43713,                 0.9005,                0.91689,                0.95402,                0.97279,                0.77684,                 0.7103,                0.38744,                0.87121,              0.0090793,              0.0090793,              0.0090793
                     95,                0.67171,                0.43696,                0.90155,                0.98762,                0.91665,                0.98308,                0.80276,                0.66072,                 0.4017,                0.87231,              0.0090694,              0.0090694,              0.0090694
                     96,                0.70378,                0.44098,                0.91499,                0.97658,                0.95868,                0.97296,                0.78065,                0.70598,                0.40526,                0.88828,              0.0090595,              0.0090595,              0.0090595
                     97,                0.68335,                0.44384,                0.90592,                0.99844,                0.93103,                0.97518,                0.77837,                 0.7062,                0.41578,                0.87248,              0.0090496,              0.0090496,              0.0090496
                     98,                 0.6998,                0.44495,                0.91075,                0.97451,                0.87899,                0.97193,                0.77709,                 0.7043,                0.41962,                0.87688,              0.0090397,              0.0090397,              0.0090397
                     99,                0.67353,                0.42414,                0.88358,                0.95105,                0.94253,                0.97289,                0.78305,                0.73424,                0.43381,                0.89983,              0.0090298,              0.0090298,              0.0090298
                    100,                0.68254,                0.42158,                0.90082,                      1,                0.90314,                0.96896,                0.79014,                0.67563,                0.42855,                0.86501,              0.0090199,              0.0090199,              0.0090199
                    101,                0.67328,                0.43667,                0.90626,                      1,                 0.9066,                0.97321,                0.76849,                0.75607,                0.42636,                0.88139,                0.00901,                0.00901,                0.00901
                    102,                0.66097,                0.43091,                 0.8784,                0.92213,                0.95278,                0.97863,                0.77893,                0.71898,                0.42351,                0.87448,              0.0090001,              0.0090001,              0.0090001
                    103,                0.67545,                0.42401,                0.90052,                0.92718,                0.95402,                0.97107,                0.79209,                0.69133,                 0.4223,                0.86955,              0.0089902,              0.0089902,              0.0089902
                    104,                0.67637,                0.43105,                0.91375,                 0.9131,                0.94253,                0.96906,                0.78145,                0.70074,                0.41609,                0.88779,              0.0089803,              0.0089803,              0.0089803
                    105,                0.66912,                0.42744,                0.90625,                0.93155,                0.93854,                0.97747,                0.78395,                0.73357,                0.42606,                0.89779,              0.0089704,              0.0089704,              0.0089704
                    106,                0.66494,                0.42575,                0.90675,                0.93358,                0.93103,                0.97852,                 0.7875,                0.69367,                0.41816,                0.89048,              0.0089605,              0.0089605,              0.0089605
                    107,                0.65429,                0.42726,                0.90742,                0.96234,                 0.8812,                0.96202,                0.77396,                0.72052,                0.44854,                0.87645,              0.0089506,              0.0089506,              0.0089506
                    108,                0.65392,                0.42514,                0.89968,                0.95399,                0.95328,                0.97858,                0.78229,                0.69902,                0.40231,                0.88255,              0.0089407,              0.0089407,              0.0089407
                    109,                0.65208,                 0.4208,                0.89765,                0.90958,                0.94253,                0.96925,                0.78229,                0.66419,                0.41179,                0.85793,              0.0089308,              0.0089308,              0.0089308
                    110,                0.64949,                0.41499,                0.87524,                0.92945,                0.93103,                0.96623,                0.78931,                0.66582,                0.43104,                0.86572,              0.0089209,              0.0089209,              0.0089209
                    111,                0.67969,                0.44011,                0.90893,                0.96931,                0.91954,                0.96877,                0.79494,                0.67354,                0.40949,                0.87245,               0.008911,               0.008911,               0.008911
                    112,                 0.6511,                0.42205,                  0.911,                0.92802,                0.94253,                0.97521,                0.79413,                0.69379,                0.41588,                0.86637,              0.0089011,              0.0089011,              0.0089011
                    113,                0.68468,                0.44167,                0.89961,                0.98196,                0.88506,                0.96463,                0.76425,                0.69545,                0.44885,                0.87599,              0.0088912,              0.0088912,              0.0088912
                    114,                 0.6877,                0.43648,                0.90971,                0.95375,                 0.9482,                0.97453,                0.78136,                0.66881,                0.41108,                0.87126,              0.0088813,              0.0088813,              0.0088813
                    115,                0.65727,                0.42063,                0.90323,                0.94033,                0.94253,                 0.9709,                0.78047,                0.67725,                0.42367,                0.89022,              0.0088714,              0.0088714,              0.0088714
                    116,                0.67709,                0.42862,                0.90629,                0.92811,                0.91954,                0.96712,                0.79217,                0.65991,                0.41939,                0.88248,              0.0088615,              0.0088615,              0.0088615
                    117,                0.66662,                0.41646,                  0.898,                0.98733,                0.89563,                0.97103,                0.78554,                0.68252,                0.43745,                0.88056,              0.0088516,              0.0088516,              0.0088516
                    118,                 0.6598,                 0.4144,                0.89526,                0.93012,                0.91954,                0.95518,                0.77748,                0.69368,                0.42985,                0.87517,              0.0088417,              0.0088417,              0.0088417
                    119,                0.63199,                0.40017,                0.88324,                0.93973,                0.96552,                0.97072,                0.79584,                0.65561,                0.39464,                 0.8653,              0.0088318,              0.0088318,              0.0088318
                    120,                0.65677,                 0.4174,                0.90254,                0.93226,                0.94923,                0.97115,                0.77118,                0.70394,                0.40058,                0.87695,              0.0088219,              0.0088219,              0.0088219
                    121,                0.66047,                0.41699,                0.90297,                0.92268,                0.94253,                0.97174,                0.78943,                0.68381,                  0.399,                0.86967,               0.008812,               0.008812,               0.008812
                    122,                0.63849,                0.41082,                0.88711,                0.95389,                0.95402,                0.97514,                0.80255,                0.66526,                0.38196,                0.84816,              0.0088021,              0.0088021,              0.0088021
                    123,                0.67662,                0.42374,                0.91472,                0.92746,                0.95402,                0.98028,                0.80386,                0.66846,                 0.3834,                0.86545,              0.0087922,              0.0087922,              0.0087922
                    124,                0.64567,                0.41439,                0.90168,                0.93345,                0.96734,                0.98465,                0.80663,                 0.6805,                0.38203,                0.86646,              0.0087823,              0.0087823,              0.0087823
                    125,                0.67199,                0.41911,                0.90384,                0.95604,                0.96552,                0.98571,                0.80653,                0.67816,                0.39369,                0.86537,              0.0087724,              0.0087724,              0.0087724
                    126,                0.68266,                0.43338,                0.89534,                0.99037,                0.93103,                 0.9729,                0.78847,                0.67583,                0.40157,                0.86886,              0.0087625,              0.0087625,              0.0087625
                    127,                0.63965,                0.41124,                0.89426,                0.97522,                0.90476,                0.97569,                0.78729,                0.68116,                0.39019,                  0.861,              0.0087526,              0.0087526,              0.0087526
                    128,                0.64358,                0.40292,                 0.8956,                0.95323,                0.93711,                0.98035,                0.80351,                0.65783,                0.37393,                0.86939,              0.0087427,              0.0087427,              0.0087427
                    129,                0.63908,                0.40863,                0.90661,                 0.9556,                0.96552,                0.97924,                0.79437,                0.63559,                0.37989,                0.85828,              0.0087328,              0.0087328,              0.0087328
                    130,                 0.6197,                0.39662,                  0.885,                0.98634,                0.93103,                0.97798,                0.79536,                0.68701,                0.39056,                0.87627,              0.0087229,              0.0087229,              0.0087229
                    131,                0.65677,                0.41317,                0.90236,                0.96388,                0.92026,                0.97475,                0.80442,                0.65829,                0.39628,                0.85775,               0.008713,               0.008713,               0.008713
                    132,                0.62102,                0.40182,                0.88406,                0.96423,                0.92955,                0.96179,                0.80419,                0.66417,                0.40213,                0.85983,              0.0087031,              0.0087031,              0.0087031
                    133,                0.62481,                0.40193,                0.88952,                0.95997,                0.94253,                0.96839,                0.80567,                0.63639,                0.38705,                0.85394,              0.0086932,              0.0086932,              0.0086932
                    134,                0.61263,                0.39755,                0.88107,                0.97998,                0.93103,                0.97194,                0.81425,                0.67501,                0.41252,                0.86614,              0.0086833,              0.0086833,              0.0086833
