epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,1051.51,0.97816,0.56773,0.96967,0.88833,0.81667,0.88366,0.61955,0.89079,0.57008,1.03412,0.0092773,0.0092773,0.0092773
75,1065.67,0.85813,0.53348,0.95553,0.84947,0.84655,0.87987,0.59955,0.86592,0.60952,1.03983,0.0092674,0.0092674,0.0092674
76,1079.81,0.88977,0.54667,0.93734,0.92573,0.83333,0.89214,0.61947,0.83567,0.60044,0.98697,0.0092575,0.0092575,0.0092575
77,1093.84,0.9063,0.54644,0.96711,0.89604,0.78333,0.85327,0.59749,0.87486,0.56502,1.0049,0.0092476,0.0092476,0.0092476
78,1107.89,0.79619,0.50493,0.95634,0.8922,0.82768,0.88835,0.63053,0.83156,0.57073,0.99686,0.0092377,0.0092377,0.0092377
79,1122.13,0.90772,0.54347,0.94886,0.82313,0.83333,0.87844,0.63174,0.88177,0.61276,0.9901,0.0092278,0.0092278,0.0092278
80,1136.24,0.85345,0.52191,0.92448,0.87759,0.8,0.89646,0.60663,0.89851,0.60677,1.00064,0.0092179,0.0092179,0.0092179
81,1150.41,0.91957,0.54626,0.95791,0.93225,0.71667,0.85925,0.60406,0.86852,0.66523,0.92005,0.009208,0.009208,0.009208
82,1164.55,0.90038,0.52523,0.94041,0.88394,0.76171,0.87021,0.62327,0.86053,0.64518,0.9524,0.0091981,0.0091981,0.0091981
83,1178.72,0.87029,0.51402,0.92649,0.90468,0.8,0.83576,0.57984,0.865,0.58638,1.00203,0.0091882,0.0091882,0.0091882
84,1192.92,0.84335,0.51443,0.95612,0.88378,0.78333,0.86058,0.5927,0.82407,0.64148,0.92873,0.0091783,0.0091783,0.0091783
85,1207.17,0.82918,0.50681,0.93918,0.87795,0.83927,0.85423,0.61755,0.81041,0.57444,0.93919,0.0091684,0.0091684,0.0091684
86,1221.32,0.87945,0.51357,0.93278,0.9057,0.73333,0.84794,0.61595,0.85145,0.56871,0.94627,0.0091585,0.0091585,0.0091585
87,1235.43,0.83228,0.51835,0.92409,0.87876,0.84567,0.8922,0.62956,0.83417,0.585,0.96913,0.0091486,0.0091486,0.0091486
88,1249.42,0.84662,0.49135,0.93177,0.88172,0.83333,0.87115,0.63976,0.84803,0.5656,0.98149,0.0091387,0.0091387,0.0091387
89,1263.55,0.89748,0.53641,0.92514,0.83626,0.76611,0.83357,0.58322,0.89921,0.66722,1.03811,0.0091288,0.0091288,0.0091288
90,1277.63,0.87599,0.52033,0.93954,0.87661,0.78333,0.83546,0.58771,0.84986,0.64154,1.01,0.0091189,0.0091189,0.0091189
91,1291.73,0.82245,0.50501,0.95309,0.91235,0.76667,0.82011,0.55991,0.98944,0.70788,1.04413,0.009109,0.009109,0.009109
92,1305.78,0.83579,0.50513,0.96467,0.90513,0.79512,0.89143,0.64399,0.85254,0.59147,1.01618,0.0090991,0.0090991,0.0090991
93,1319.98,0.93954,0.53067,0.95334,0.868,0.81667,0.8633,0.63234,0.82798,0.54623,0.92942,0.0090892,0.0090892,0.0090892
94,1334.1,0.8835,0.55052,0.93258,0.91216,0.8,0.88703,0.64717,0.86756,0.58628,0.98342,0.0090793,0.0090793,0.0090793
95,1348.28,0.8456,0.49986,0.95127,0.90887,0.83114,0.88131,0.63832,0.80838,0.54134,0.99179,0.0090694,0.0090694,0.0090694
96,1362.4,0.82874,0.5079,0.92919,0.92192,0.8,0.88152,0.62578,0.82591,0.56054,0.9983,0.0090595,0.0090595,0.0090595
97,1376.53,0.77266,0.46923,0.90569,0.86385,0.84605,0.88734,0.61773,0.90335,0.59506,1.05173,0.0090496,0.0090496,0.0090496
98,1390.63,0.82548,0.48846,0.94682,0.84448,0.85,0.85777,0.61167,0.83406,0.57727,0.96781,0.0090397,0.0090397,0.0090397
99,1404.77,0.80466,0.47839,0.89825,0.88834,0.8,0.8577,0.64605,0.76855,0.54993,0.92613,0.0090298,0.0090298,0.0090298
100,1418.92,0.80579,0.47839,0.93988,0.90039,0.81667,0.87543,0.64772,0.82119,0.56316,0.97252,0.0090199,0.0090199,0.0090199
101,1433.04,0.88457,0.49808,0.9369,0.89933,0.76667,0.86472,0.63772,0.80377,0.55417,0.98199,0.00901,0.00901,0.00901
102,1447.14,0.77664,0.46893,0.93797,0.89072,0.8151,0.87505,0.60977,0.82581,0.58526,0.9866,0.0090001,0.0090001,0.0090001
103,1461.3,0.79668,0.48151,0.93971,0.89211,0.85,0.87803,0.66058,0.79325,0.53878,1.00477,0.0089902,0.0089902,0.0089902
104,1475.46,0.81722,0.49518,0.94974,0.87012,0.81667,0.85378,0.65294,0.82497,0.55165,1.00612,0.0089803,0.0089803,0.0089803
105,1489.64,0.79449,0.47649,0.94393,0.86948,0.85,0.86018,0.61495,0.84891,0.54117,0.95329,0.0089704,0.0089704,0.0089704
106,1503.76,0.81205,0.47452,0.91916,0.81016,0.85356,0.88092,0.60928,0.87414,0.56779,0.9712,0.0089605,0.0089605,0.0089605
107,1517.85,0.86074,0.51551,0.93915,0.85946,0.86667,0.88501,0.64899,0.80941,0.52012,0.98832,0.0089506,0.0089506,0.0089506
108,1531.93,0.74804,0.46969,0.92916,0.8731,0.83333,0.87941,0.63789,0.81372,0.5693,0.98622,0.0089407,0.0089407,0.0089407
109,1546.11,0.81636,0.47068,0.90224,0.90016,0.8,0.87979,0.65012,0.82604,0.57959,0.9841,0.0089308,0.0089308,0.0089308
110,1560.22,0.83392,0.50298,0.93231,0.91761,0.8,0.89358,0.61834,0.87335,0.60171,0.98866,0.0089209,0.0089209,0.0089209
111,1574.35,0.78017,0.47159,0.93531,0.82888,0.85,0.86735,0.62267,0.87082,0.5828,1.01937,0.008911,0.008911,0.008911
112,1588.49,0.77168,0.47334,0.91364,0.92107,0.83333,0.87987,0.63738,0.88116,0.55004,0.95514,0.0089011,0.0089011,0.0089011
113,1602.64,0.77918,0.46811,0.94555,0.90082,0.81667,0.87909,0.66179,0.81971,0.61113,0.96199,0.0088912,0.0088912,0.0088912
114,1616.6,0.75395,0.46844,0.92594,1,0.74908,0.87506,0.62548,0.76124,0.52589,0.91052,0.0088813,0.0088813,0.0088813
115,1630.8,0.77988,0.47974,0.91298,0.89613,0.81667,0.88779,0.6466,0.83706,0.5314,0.94732,0.0088714,0.0088714,0.0088714
116,1645,0.80001,0.4674,0.92521,0.90688,0.81165,0.87065,0.62998,0.80717,0.53358,0.9487,0.0088615,0.0088615,0.0088615
117,1659.14,0.76267,0.45616,0.91362,0.82924,0.85,0.86936,0.6264,0.85594,0.54268,1.00799,0.0088516,0.0088516,0.0088516
118,1673.35,0.71983,0.46029,0.92581,0.89618,0.86326,0.88574,0.6408,0.8551,0.55741,0.99157,0.0088417,0.0088417,0.0088417
119,1687.51,0.78753,0.4781,0.94283,0.97003,0.71667,0.8643,0.61559,0.86702,0.6002,0.99184,0.0088318,0.0088318,0.0088318
120,1701.6,0.81606,0.4836,0.93214,0.85136,0.85,0.88496,0.65217,0.83755,0.53323,1.01612,0.0088219,0.0088219,0.0088219
121,1715.66,0.77943,0.46991,0.92146,0.84369,0.83333,0.87604,0.63507,0.84196,0.56159,1.00945,0.008812,0.008812,0.008812
122,1729.76,0.77801,0.47579,0.92171,0.87777,0.8,0.89032,0.63924,0.86001,0.58736,1.00462,0.0088021,0.0088021,0.0088021
123,1743.92,0.75414,0.47666,0.92181,0.90945,0.83699,0.89286,0.67251,0.79692,0.53412,0.95346,0.0087922,0.0087922,0.0087922
124,1758.14,0.72646,0.45021,0.91685,0.90535,0.8,0.8576,0.63265,0.80038,0.53895,0.91205,0.0087823,0.0087823,0.0087823
125,1772.27,0.74018,0.45595,0.92917,0.89225,0.8,0.86173,0.64389,0.82024,0.62464,0.91723,0.0087724,0.0087724,0.0087724
126,1786.39,0.79801,0.49796,0.91628,0.87596,0.82397,0.87496,0.65126,0.76464,0.60664,0.93037,0.0087625,0.0087625,0.0087625
127,1800.49,0.77078,0.47983,0.90259,0.8299,0.76667,0.84506,0.62361,0.82797,0.56662,0.93021,0.0087526,0.0087526,0.0087526
128,1814.63,0.7266,0.44286,0.893,0.88419,0.76353,0.85971,0.6298,0.82785,0.57365,1.01784,0.0087427,0.0087427,0.0087427
129,1828.79,0.73062,0.44475,0.90096,0.87575,0.78333,0.86892,0.64551,0.79982,0.55434,1.00589,0.0087328,0.0087328,0.0087328
130,1843.04,0.7815,0.47858,0.92468,0.89852,0.8,0.86329,0.64187,0.84049,0.54501,0.99599,0.0087229,0.0087229,0.0087229
131,1857.3,0.7853,0.48216,0.93365,0.94182,0.80948,0.89084,0.66993,0.8006,0.5852,0.96708,0.008713,0.008713,0.008713
132,1871.43,0.78513,0.45897,0.91841,0.91765,0.81667,0.88351,0.66163,0.78481,0.53369,0.98419,0.0087031,0.0087031,0.0087031
133,1885.63,0.78054,0.45336,0.92406,0.90897,0.83209,0.87882,0.64615,0.82021,0.59277,0.96748,0.0086932,0.0086932,0.0086932
134,1899.83,0.72208,0.45371,0.90854,0.82952,0.81101,0.8545,0.6281,0.78883,0.58767,0.97862,0.0086833,0.0086833,0.0086833
135,1913.99,0.72093,0.45293,0.91696,0.90476,0.81667,0.87272,0.63298,0.8258,0.56731,0.94795,0.0086734,0.0086734,0.0086734
136,1928.15,0.76318,0.47984,0.9228,0.92252,0.83333,0.87926,0.65526,0.80927,0.54779,0.93282,0.0086635,0.0086635,0.0086635
137,1942.33,0.74984,0.45685,0.92198,0.92689,0.84523,0.89887,0.65866,0.76641,0.51028,0.92246,0.0086536,0.0086536,0.0086536
138,1956.43,0.72142,0.43218,0.90958,0.91584,0.83333,0.87027,0.62007,0.81273,0.59539,0.96393,0.0086437,0.0086437,0.0086437
139,1970.61,0.75041,0.45187,0.88021,0.92191,0.83333,0.87873,0.64906,0.80117,0.56591,0.95476,0.0086338,0.0086338,0.0086338
140,1984.72,0.789,0.47467,0.91759,0.92192,0.78724,0.86506,0.62921,0.82221,0.54915,0.94938,0.0086239,0.0086239,0.0086239
141,1998.83,0.76412,0.44513,0.90336,0.93506,0.78333,0.88512,0.67128,0.79546,0.54929,0.9686,0.008614,0.008614,0.008614
142,2012.97,0.69811,0.42397,0.91192,0.9223,0.81667,0.88576,0.67088,0.77604,0.53539,0.91433,0.0086041,0.0086041,0.0086041
143,2027.12,0.66256,0.40028,0.89021,0.88162,0.81667,0.88138,0.66046,0.80688,0.59929,0.93959,0.0085942,0.0085942,0.0085942
144,2041.19,0.76129,0.45211,0.92391,0.93953,0.77696,0.87785,0.66453,0.76367,0.55532,0.93465,0.0085843,0.0085843,0.0085843
145,2055.36,0.70289,0.43325,0.90287,0.94117,0.79997,0.87666,0.66255,0.79481,0.55666,0.95246,0.0085744,0.0085744,0.0085744
146,2069.45,0.75439,0.43465,0.91304,0.92683,0.84447,0.90365,0.68731,0.81705,0.53611,1.00706,0.0085645,0.0085645,0.0085645
147,2083.66,0.7206,0.45083,0.91264,0.93404,0.8,0.88451,0.66229,0.79455,0.54304,0.96325,0.0085546,0.0085546,0.0085546
